Printout for SDDS file out/ltu1/run.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1.290000e+01           BK    CSRCSBEND   2.279751e+01   1.930464e+01  -1.175060e+00   1.007972e+00   1.638023e-15   1.693072e-16  -3.213396e-03  -4.829865e-04   6.686854e-01   5.960974e-01   2.479911e-23   3.086076e-07   2.521084e-07   1.631685e+04 
  1.300000e+01          LM1     CSRDRIFT   2.303357e+01   1.910409e+01  -1.185503e+00   9.975293e-01   1.654954e-15   1.693072e-16  -3.261695e-03  -4.829865e-04   6.730493e-01   6.013047e-01   2.479911e-23   3.086076e-07   2.521084e-07   1.631685e+04 
  1.310000e+01          LM1     CSRDRIFT   2.327171e+01   1.890563e+01  -1.195946e+00   9.870861e-01   1.671884e-15   1.693072e-16  -3.309993e-03  -4.829865e-04   6.773686e-01   6.065666e-01   2.479911e-23   3.086076e-07   2.521084e-07   1.631685e+04 
  1.320000e+01          LM1     CSRDRIFT   2.351195e+01   1.870925e+01  -1.206389e+00   9.766430e-01   1.688815e-15   1.693072e-16  -3.358292e-03  -4.829865e-04   6.816436e-01   6.118837e-01   2.479911e-23   3.086076e-07   2.521084e-07   1.631685e+04 
  1.330000e+01          LM1     CSRDRIFT   2.375427e+01   1.851497e+01  -1.216832e+00   9.661999e-01   1.705746e-15   1.693072e-16  -3.406591e-03  -4.829865e-04   6.858750e-01   6.172567e-01   2.479911e-23   3.086076e-07   2.521084e-07   1.631685e+04 
  1.355000e+01           BK    CSRCSBEND   2.436921e+01   1.803840e+01  -1.242940e+00   9.400922e-01   1.748073e-15   1.693072e-16  -3.533587e-03  -5.329865e-04   6.962660e-01   6.309369e-01   2.763110e-23   3.086076e-07   2.522107e-07   1.631685e+04 
  1.380000e+01           BK    CSRCSBEND   2.499721e+01   1.757488e+01  -1.269048e+00   9.139846e-01   1.790399e-15   1.693072e-16  -3.673084e-03  -5.829864e-04   7.063954e-01   6.449782e-01   3.061618e-23   3.086076e-07   2.523186e-07   1.631685e+04 
  1.390000e+01          LM1     CSRDRIFT   2.525206e+01   1.739313e+01  -1.279491e+00   9.035414e-01   1.807330e-15   1.693072e-16  -3.731383e-03  -5.829864e-04   7.103756e-01   6.506979e-01   3.061618e-23   3.086076e-07   2.523186e-07   1.631685e+04 
  1.400000e+01          LM1     CSRDRIFT   2.550900e+01   1.721346e+01  -1.289934e+00   8.930983e-01   1.824261e-15   1.693072e-16  -3.789681e-03  -5.829864e-04   7.143157e-01   6.564772e-01   3.061618e-23   3.086076e-07   2.523186e-07   1.631685e+04 
  1.450000e+01          LM0     CSRDRIFT   2.682505e+01   1.634647e+01  -1.342149e+00   8.408827e-01   1.908914e-15   1.693072e-16  -4.081175e-03  -5.829864e-04   7.334309e-01   6.862890e-01   3.061618e-23   3.086076e-07   2.523186e-07   1.631685e+04 
  1.500000e+01          LM0     CSRDRIFT   2.819330e+01   1.553170e+01  -1.394365e+00   7.886670e-01   1.993568e-15   1.693072e-16  -4.372668e-03  -5.829864e-04   7.516133e-01   7.176739e-01   3.061618e-23   3.086076e-07   2.523186e-07   1.631685e+04 
  1.550000e+01          LM0     CSRDRIFT   2.961378e+01   1.476914e+01  -1.446580e+00   7.364513e-01   2.078222e-15   1.693072e-16  -4.664161e-03  -5.829864e-04   7.689183e-01   7.506927e-01   3.061618e-23   3.086076e-07   2.523186e-07   1.631685e+04 
  1.600000e+01          LM0     CSRDRIFT   3.108646e+01   1.405879e+01  -1.498796e+00   6.842357e-01   2.162875e-15   1.693072e-16  -4.955654e-03  -5.829864e-04   7.853983e-01   7.853988e-01   3.061618e-23   3.086076e-07   2.523186e-07   1.631685e+04 
  1.610000e+01         QLF0         QUAD   3.123658e+01   1.399048e+01   7.531545e-08   2.728210e-06   2.174578e-15   6.464746e-17  -5.038135e-03  -1.067226e-03   7.886048e-01   7.925349e-01   3.061618e-23   3.086078e-07   2.528423e-07   1.631685e+04 
  1.620000e+01         QLF0         QUAD   3.108646e+01   1.405879e+01   1.498796e+00  -6.842302e-01   2.175794e-15  -4.032399e-17  -5.169277e-03  -1.556785e-03   7.918113e-01   7.996710e-01   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  1.670000e+01          LM0     CSRDRIFT   2.961378e+01   1.476913e+01   1.446580e+00  -7.364456e-01   2.155632e-15  -4.032399e-17  -5.947669e-03  -1.556785e-03   8.082913e-01   8.343771e-01   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  1.720000e+01          LM0     CSRDRIFT   2.819330e+01   1.553168e+01   1.394365e+00  -7.886610e-01   2.135470e-15  -4.032399e-17  -6.726061e-03  -1.556785e-03   8.255963e-01   8.673960e-01   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  1.770000e+01          LM0     CSRDRIFT   2.682505e+01   1.634645e+01   1.342150e+00  -8.408764e-01   2.115308e-15  -4.032399e-17  -7.504454e-03  -1.556785e-03   8.437787e-01   8.987809e-01   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  1.820000e+01          LM0     CSRDRIFT   2.550900e+01   1.721344e+01   1.289934e+00  -8.930917e-01   2.095146e-15  -4.032399e-17  -8.282846e-03  -1.556785e-03   8.628939e-01   9.285927e-01   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  1.870000e+01          LM0     CSRDRIFT   2.424518e+01   1.813264e+01   1.237719e+00  -9.453071e-01   2.074984e-15  -4.032399e-17  -9.061238e-03  -1.556785e-03   8.830006e-01   9.568977e-01   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  1.920000e+01          LM0     CSRDRIFT   2.303357e+01   1.910405e+01   1.185503e+00  -9.975225e-01   2.054822e-15  -4.032399e-17  -9.839631e-03  -1.556785e-03   9.041603e-01   9.837654e-01   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  1.970000e+01          LM0     CSRDRIFT   2.187417e+01   2.012768e+01   1.133288e+00  -1.049738e+00   2.034660e-15  -4.032399e-17  -1.061802e-02  -1.556785e-03   9.264374e-01   1.009266e+00   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  2.020000e+01          LM0     CSRDRIFT   2.076699e+01   2.120353e+01   1.081072e+00  -1.101953e+00   2.014498e-15  -4.032399e-17  -1.139642e-02  -1.556785e-03   9.498990e-01   1.033472e+00   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  2.070000e+01          LM0     CSRDRIFT   1.971203e+01   2.233159e+01   1.028857e+00  -1.154169e+00   1.994336e-15  -4.032399e-17  -1.217481e-02  -1.556785e-03   9.746141e-01   1.056451e+00   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
  2.120000e+01          LM0     CSRDRIFT   1.870928e+01   2.351186e+01   9.766411e-01  -1.206384e+00   1.974174e-15  -4.032399e-17  -1.295320e-02  -1.556785e-03   1.000653e+00   1.078274e+00   3.061618e-23   3.086080e-07   2.534983e-07   1.631685e+04 
